,entry_time,exit_time,symbol,direction,shares,entry_price,exit_price,pnl,pnl_pct,r_multiple,holding_time_hours,exit_reason,partial_exits,window_num
0,2025-08-12 11:00:00,2025-08-12 15:55:00,SPY,long,23,640.5601102294922,642.308689880371,34.26014407348407,0.23254202964998294,1.1156458577693524,4.916666666666667,Time stop,1,1
0,2025-08-19 10:00:00,2025-08-19 10:25:00,SPY,long,23,644.4220255737305,643.0782938995361,-31.905828506470584,-0.21526420265181068,-1.3573062028779945,0.4166666666666667,Stop loss,0,2
1,2025-08-22 10:00:00,2025-08-22 10:20:00,SPY,long,23,643.2314281311035,642.909812417038,11.036531200501713,0.07459977259268905,0.3399686367598402,0.3333333333333333,Stop loss,1,2
0,2025-09-02 11:50:00,2025-09-02 12:15:00,SPY,short,23,634.8624026794433,636.2329660491944,-32.522957504273904,-0.22273198486044019,-1.343372364714828,0.4166666666666667,Stop loss,0,3
0,2025-09-18 13:10:00,2025-09-18 13:35:00,SPY,long,22,664.0918897705078,662.5885534210205,-34.07339968872088,-0.2332193659942269,-1.3216333826454765,0.4166666666666667,Stop loss,0,6
0,2025-09-25 11:30:00,2025-09-25 13:20:00,SPY,long,22,658.6691968688965,656.5616001434327,-47.3671279602047,-0.3268789980089118,-1.2101560914856666,1.8333333333333333,Stop loss,0,7
0,2025-10-01 11:00:00,2025-10-01 15:55:00,SPY,long,22,666.272972442627,668.16575,42.76897317504938,0.29177894281114936,1.3265604328927836,4.916666666666667,Time stop,3,8
1,2025-10-02 13:05:00,2025-10-02 13:40:00,SPY,short,22,667.8858607177734,669.3944970245361,-34.18999874877932,-0.232688089930077,-1.3236372391946123,0.5833333333333334,Stop loss,0,8
2,2025-10-03 11:55:00,2025-10-03 13:00:00,SPY,long,22,672.83625,671.4640877990722,-31.187568420410116,-0.21069268286039552,-1.3680096955804508,1.0833333333333333,Stop loss,0,8
3,2025-10-06 13:20:00,2025-10-06 15:55:00,SPY,long,22,672.5560806884765,671.2442270812988,-29.860779357908996,-0.20181337907803754,-1.1999646872565866,2.5833333333333335,Time stop,0,8
